fecha,resolucion,despacho,expediente,enlace
2021-05-27,45-2021,"Tribunal Contencioso Administrativo, Sección V",11-006217-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-1032057
2021-05-31,67-2021,"Tribunal Contencioso Administrativo, Sección IV",18-004156-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-1032302
2021-06-18,73-2021,"Tribunal Contencioso Administrativo, Sección IV",19-001275-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-1043098
2021-06-30,85-2021,"Tribunal Contencioso Administrativo, Sección VI",19-006169-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-1042812
2021-06-30,88-2021,"Tribunal Contencioso Administrativo, Sección VI",16-009230-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-1042815
2021-07-15,80-2021,"Tribunal Contencioso Administrativo, Sección IV",15-005166-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-1043100
2021-08-19,108-2021,"Tribunal Contencioso Administrativo, Sección VI",20-003772-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-1050671
2021-08-24,74-2021,"Tribunal Contencioso Administrativo, Sección VII",17-002240-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-1050680
2021-09-17,84-2021,"Tribunal Contencioso Administrativo, Sección VII",19-004101-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-1059916
2021-09-27,127-2021,"Tribunal Contencioso Administrativo, Sección VI",19-003898-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-1059900
2021-10-07,27-2021,"Tribunal Contencioso Administrativo, Sección IX",15-010641-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-1059937
2021-10-13,135-2021,"Tribunal Contencioso Administrativo, Sección VI",19-007456-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-1059905
